look,nominal,method,index,field_id,country,crop,group,target,prediction,scale,cell,calibration_cell_n,quantile_rank,upper,upper_adjustment,covered
1,0.9,global_raw,9,Argentina_DUP1_farm14_field114_soybean_2022,Argentina,soybean,Argentina|soybean,4.077847957611084,3.6523276109832494,0.9308805978787991,global,118,108,4.972544785798425,1.3202171748151752,1
1,0.9,global_raw,12,Argentina_DUP1_farm14_field117_corn_2023,Argentina,corn,Argentina|corn,7.169715881347656,7.446437520375054,2.256165256396584,global,118,108,8.76665469519023,1.3202171748151752,1
1,0.9,global_raw,20,Argentina_DUP1_farm15_field125_soybean_2018,Argentina,soybean,Argentina|soybean,3.900073528289795,3.8218028542670344,0.9087032427186904,global,118,108,5.142020029082209,1.3202171748151752,1
1,0.9,global_raw,26,Argentina_DUP1_farm15_field135_soybean_2019,Argentina,soybean,Argentina|soybean,3.92604660987854,3.7874191811087954,0.9252219576663563,global,118,108,5.107636355923971,1.3202171748151752,1
1,0.9,global_raw,34,Argentina_DUP1_farm15_field144_soybean_2020,Argentina,soybean,Argentina|soybean,3.5069212913513184,3.4638473531468827,0.8647142097223303,global,118,108,4.784064527962058,1.3202171748151752,1
1,0.9,global_raw,39,Argentina_DUP1_farm15_field150_soybean_2021,Argentina,soybean,Argentina|soybean,5.143073081970215,3.9111573862918894,0.8555808490267754,global,118,108,5.231374561107065,1.3202171748151752,1
1,0.9,global_raw,41,Argentina_DUP1_farm15_field154_soybean_2022,Argentina,soybean,Argentina|soybean,5.319962501525879,4.334405157526725,0.7866102278886595,global,118,108,5.6546223323419005,1.3202171748151752,1
1,0.9,global_raw,43,Argentina_DUP1_farm16_field157_soybean_2023,Argentina,soybean,Argentina|soybean,1.2494542598724365,2.9093464106370677,1.1340780391830207,global,118,108,4.229563585452243,1.3202171748151752,1
1,0.9,global_raw,54,Argentina_DUP1_farm17_field168_soybean_2018,Argentina,soybean,Argentina|soybean,1.223634123802185,3.5895144048826055,0.8617528754334197,global,118,108,4.90973157969778,1.3202171748151752,1
1,0.9,global_raw,55,Argentina_DUP1_farm17_field169_soybean_2019,Argentina,soybean,Argentina|soybean,4.524634838104248,4.202368828035433,1.0762427927939284,global,118,108,5.522586002850608,1.3202171748151752,1
1,0.9,global_raw,66,Argentina_DUP1_farm17_field182_soybean_2019,Argentina,soybean,Argentina|soybean,4.038310527801514,3.9283918394494632,0.8513867255668,global,118,108,5.248609014264638,1.3202171748151752,1
1,0.9,global_raw,67,Argentina_DUP1_farm17_field183_soybean_2021,Argentina,soybean,Argentina|soybean,2.280846118927002,3.121125228793753,0.9599848543683427,global,118,108,4.441342403608928,1.3202171748151752,1
1,0.9,global_raw,70,Argentina_DUP1_farm17_field189_soybean_2021,Argentina,soybean,Argentina|soybean,1.8797327280044556,3.4268183972177115,1.159037360145248,global,118,108,4.747035572032887,1.3202171748151752,1
1,0.9,global_raw,76,Argentina_DUP1_farm19_field196_soybean_2022,Argentina,soybean,Argentina|soybean,5.2486891746521,3.9429918480189765,1.0116092497103524,global,118,108,5.263209022834152,1.3202171748151752,1
1,0.9,global_raw,77,Argentina_DUP1_farm19_field197_corn_2022,Argentina,corn,Argentina|corn,12.48502254486084,10.27667539882032,2.6093176097786768,global,118,108,11.596892573635495,1.3202171748151752,0
1,0.9,global_raw,78,Argentina_DUP1_farm19_field198_corn_2022,Argentina,corn,Argentina|corn,13.68151569366455,10.829499639852772,2.1234847067760403,global,118,108,12.149716814667947,1.3202171748151752,0
1,0.9,global_raw,99,Argentina_DUP1_farm23_field218_soybean_2019,Argentina,soybean,Argentina|soybean,2.855816602706909,3.9942920955600245,1.0650788599128749,global,118,108,5.3145092703752,1.3202171748151752,1
1,0.9,global_raw,108,Argentina_DUP1_farm23_field231_soybean_2021,Argentina,soybean,Argentina|soybean,4.768322944641113,2.9148780055436614,0.7414371060216572,global,118,108,4.235095180358837,1.3202171748151752,0
1,0.9,global_raw,113,Argentina_DUP1_farm24_field238_corn_2021,Argentina,corn,Argentina|corn,9.808682441711426,8.820264116426264,2.7323451108586356,global,118,108,10.14048129124144,1.3202171748151752,1
1,0.9,global_raw,119,Argentina_DUP1_farm25_field245_corn_2023,Argentina,corn,Argentina|corn,8.207260131835938,7.6904589407347155,1.7458641651406108,global,118,108,9.010676115549892,1.3202171748151752,1
1,0.9,global_raw,128,Argentina_DUP1_farm25_field258_corn_2023,Argentina,corn,Argentina|corn,8.343838691711426,7.600430647979962,1.7986837622693568,global,118,108,8.920647822795138,1.3202171748151752,1
1,0.9,global_raw,129,Argentina_DUP1_farm25_field260_corn_2023,Argentina,corn,Argentina|corn,6.742878437042236,7.393745526232954,2.25228857035954,global,118,108,8.713962701048128,1.3202171748151752,1
1,0.9,global_raw,131,Argentina_DUP1_farm25_field263_soybean_2023,Argentina,soybean,Argentina|soybean,1.6766700744628906,2.7192569520810084,0.9830686485445531,global,118,108,4.039474126896184,1.3202171748151752,1
1,0.9,global_raw,135,Argentina_DUP1_farm25_field267_corn_2023,Argentina,corn,Argentina|corn,6.310557842254639,6.997270264237229,2.0457927213056455,global,118,108,8.317487439052403,1.3202171748151752,1
1,0.9,global_raw,142,Argentina_DUP1_farm27_field275_soybean_2021,Argentina,soybean,Argentina|soybean,3.8535122871398926,2.9867556250451943,1.00837866107175,global,118,108,4.30697279986037,1.3202171748151752,1
1,0.9,global_raw,147,Argentina_DUP1_farm27_field282_soybean_2021,Argentina,soybean,Argentina|soybean,2.9482030868530273,2.943806364940052,1.0392027728711979,global,118,108,4.264023539755227,1.3202171748151752,1
